Whisky_korean,whiskey_english,ABV%,Country,Type,alcohol_image_url
쿨일라 모흐,Caol Ila Moch,43,scotland,Single Malt,
탈리스만,Talisman,40,scotland,Blended,
탈리스커 10년,Talisker 10 Year Old,45.8,scotland,Single Malt,
탈리스커 18년,Talisker 18 Year Old,45.8,scotland,Single Malt,
탈리스커 다크스톰,Talisker Dark Storm,45.8,scotland,Single Malt,
탐나불린 쉐리캐스크,Tamnavulin Sherry Cask,40,scotland,Single Malt,
토마틴 레거시,Tomatin Legacy,43,scotland,Single Malt,
페이머스 그라우스,Famous Grouse,40,scotland,Blended,
포로지스 스몰배치,Four Roses Small Batch,43,usa,Bourbon,
포로지스 싱글배럴,Four Roses Single Barrel ,50,usa,Bourbon,
하이랜드 12년,Highland Park 12 Year Old,40,scotland,Single Malt,
하이랜드 14년,Highland Park 14 Year Old,42.3,scotland,Single Malt,
하이랜드 16년,Highland Park 16 Year Old,44.5,scotland,Single Malt,
하이랜드 18년,Highland Park 18 Year Old,43,scotland,Single Malt,
하이랜드 21년,Highland Park 21 Year Old,46,scotland,Single Malt,
하이랜드 25년,Highland Park 25 Year Old,46,scotland,Single Malt,
하쿠슈 12년,Hakushu 12 Year Old,43,japan,Single Malt,
하쿠슈 18년,Hakushu 18 Year Old,43,japan,Single Malt,
하쿠슈 nas,Hakushu NAS,43,japan,Single Malt,
헤네시 vs,Hennessy VS,40,france,Cognac,
헤네시 vsop,Hennessy VSOP,40,france,Cognac,
헤네시 xo,Hennessy XO,40,france,Cognac,
헤네시 파라디,Hennessy Paradis,40,france,Cognac,
히비키 21년,Hibiki 21 Year Old,43,japan,Single Malt,
히비키 하모니,Hibiki Harmony,43,japan,Single Malt,
